line_id,replicate,macrophage_harvest,lalistat_date,acLDL_date,rna_extraction,rna_submit,library_pool,comment
auim_2,1,,,17/11/2014,20/11/2014,27/02/2015,,
babk_2,1,,,08/12/2014,12/12/2014,27/02/2015,,
bima_1,1,,,15/12/2014,21/01/2015,27/02/2015,,
bulb_1,1,,,15/12/2014,21/01/2015,27/02/2015,,
cehw_3,1,,,17/11/2014,20/11/2014,27/02/2015,,
coio_2,1,,,17/11/2014,20/11/2014,27/11/2014,,
darw_2,1,,,17/11/2014,20/11/2014,27/02/2015,,
debk_7,1,,,08/12/2014,25/11/2014,27/02/2015,,
eofe_1,1,,,08/12/2014,12/12/2014,27/02/2015,,
euir_2,1,,,08/12/2014,12/12/2014,27/02/2015,,
giuo_4,1,,,06/11/2014,07/11/2014,27/11/2014,,
gomv_3,1,,,13/11/2014,20/11/2014,27/02/2015,,
jorr_1,1,,,15/12/2014,21/01/2015,27/02/2015,,
kaks_3,1,,,13/11/2014,20/11/2014,27/02/2015,,
meqo_3,1,,,20/11/2014,25/11/2014,27/02/2015,,
oarz_2,2,,,06/11/2014,07/11/2014,27/11/2014,,
riiv_1,1,,,08/12/2014,12/12/2014,27/02/2015,,
voas_2,1,,,20/11/2014,25/11/2014,27/02/2015,,
zuta_1,1,,,06/11/2014,07/11/2014,27/02/2015,,
xegx_2,1,,,15/12/2014,21/01/2015,27/02/2015,,
vorx_1,1,,,20/11/2014,25/11/2014,27/02/2015,,
bubh_1,1,,,31/03/2015,15/04/2015,12/05/2015,,
cups_3,1,,,14/04/2015,15/04/2015,12/05/2015,,
ougl_3,2,,,17/03/2015,15/04/2015,12/05/2015,,Sample swap: dium_1 -> ougl_3
eika_2,1,,,16/04/2015,22/04/2015,12/05/2015,,
iicq_1,1,,,07/04/2015,15/04/2015,12/05/2015,,Name corrected: licq_1 -> iicq_1
nibo_2,1,,,17/03/2015,15/04/2015,12/05/2015,,
nusw_2,1,,,07/04/2015,15/04/2015,12/05/2015,,
piun_3,2,,,17/03/2015,15/04/2015,12/05/2015,,
uimo_1,1,,,31/03/2015,15/04/2015,12/05/2015,,
uahf_3,1,,,17/11/2014,20/11/2014,16/06/2015,,
ieki_2,1,,,16/04/2015,22/04/2015,16/06/2015,,
cicb_3,1,,,28/04/2015,01/05/2015,16/06/2015,,
oefg_2,1,,,28/04/2015,01/05/2015,16/06/2015,,
ruyv_1,1,,,15/04/2015,01/05/2015,16/06/2015,,
vass_1,1,,,28/04/2015,01/05/2015,16/06/2015,,
yemz_1,1,,,28/04/2015,01/05/2015,16/06/2015,,
eojr_3,1,,,14/05/2015,18/05/2015,16/06/2015,,
iisa_3,1,,,06/05/2015,18/05/2015,16/06/2015,,
joxm_1,1,,,14/05/2015,18/05/2015,16/06/2015,,
pahc_4,1,,,06/05/2015,18/05/2015,16/06/2015,,
sukz_1,1,,,06/05/2015,18/05/2015,16/06/2015,,
veqz_6,1,,,06/05/2015,18/05/2015,16/06/2015,,
xucm_3,1,,,14/05/2015,18/05/2015,16/06/2015,,
mijn_2,1,,,20/05/2015,04/06/2015,16/06/2015,,
nemb_1,1,,,27/07/2015,20/08/2015,26/08/2015,,
pamv_3,1,,,27/07/2015,20/08/2015,26/08/2015,,
oapg_5,1,,,27/07/2015,20/08/2015,26/08/2015,,
heja_1,1,,,04/08/2015,24/08/2015,26/08/2015,,
pelm_3,1,,,04/08/2015,24/08/2015,26/08/2015,,
bezi_1,1,,,05/08/2015,24/08/2015,26/08/2015,,
eipl_1,1,,,05/08/2015,24/08/2015,26/08/2015,,
febc_2,1,,,05/08/2015,24/08/2015,26/08/2015,,
podx_1,1,,,23/07/2015,24/08/2015,26/08/2015,,
xugn_1,1,,,23/07/2015,20/08/2015,26/08/2015,,
hiaf_2,1,,,23/07/2015,20/08/2015,26/08/2015,,
kuxp_1,1,,,23/07/2015,20/08/2015,26/08/2015,,
oevr_3,1,,,08/10/2015,30/11/2015,10/12/2015,,
fafq_1,1,,,14/10/2015,30/11/2015,10/12/2015,,
hayt_1,1,,,14/10/2015,30/11/2015,10/12/2015,,
iill_1,1,,,19/10/2015,30/11/2015,10/12/2015,,
sojd_3,1,,,19/10/2015,30/11/2015,10/12/2015,,
diku_1,1,,,12/11/2015,30/11/2015,10/12/2015,,
guss_1,1,,,17/11/2015,10/12/2015,10/12/2015,,
qaqx_1,1,,,26/11/2015,01/12/2015,10/12/2015,,
zaui_3,1,,,26/11/2015,01/12/2015,10/12/2015,,
eiwy_1,1,,,26/11/2015,01/12/2015,10/12/2015,,
nukw_1,1,,28/10/2015,29/10/2015,01/12/2015,10/12/2015,,
fikt_3,1,,02/11/2015,03/11/2015,01/12/2015,10/12/2015,,
coyi_3,1,,11/11/2015,12/11/2015,10/12/2015,10/12/2015,,
hehd_2,1,,11/11/2015,12/11/2015,10/12/2015,10/12/2015,,
qolg_3,1,,11/11/2015,12/11/2015,10/12/2015,10/12/2015,,